Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,8,0.31,symmetric,0.38749311448995527
75% Corpus,8,0.61,0.01,0.40460237565752405
75% Corpus,8,0.61,0.31,0.40452269995284873
75% Corpus,8,0.61,0.61,0.36097233216277197
75% Corpus,8,0.61,0.9099999999999999,0.4031942614727998
75% Corpus,8,0.61,symmetric,0.3877323712030756
75% Corpus,8,0.9099999999999999,0.01,0.4179750650276044
75% Corpus,8,0.9099999999999999,0.31,0.4154057711410352
75% Corpus,8,0.9099999999999999,0.61,0.36356807297800453
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.41277384090461877
75% Corpus,8,0.9099999999999999,symmetric,0.4044663226010129
75% Corpus,8,symmetric,0.01,0.3904085778205326
75% Corpus,8,symmetric,0.31,0.39523797570148134
75% Corpus,8,symmetric,0.61,0.3755542264247481
75% Corpus,8,symmetric,0.9099999999999999,0.4255837838227038
75% Corpus,8,symmetric,symmetric,0.3789735502434273
75% Corpus,8,asymmetric,0.01,0.4039105938875015
75% Corpus,8,asymmetric,0.31,0.4072574974338373
75% Corpus,8,asymmetric,0.61,0.41272510688065583
75% Corpus,8,asymmetric,0.9099999999999999,0.42997494845571294
75% Corpus,8,asymmetric,symmetric,0.379666073118414
75% Corpus,9,0.01,0.01,0.4432138402430586
75% Corpus,9,0.01,0.31,0.4768946950655237
75% Corpus,9,0.01,0.61,0.48444430465753335
75% Corpus,9,0.01,0.9099999999999999,0.426118174093248
75% Corpus,9,0.01,symmetric,0.4117076302563286
75% Corpus,9,0.31,0.01,0.44188198391419437
75% Corpus,9,0.31,0.31,0.477840512671995
75% Corpus,9,0.31,0.61,0.49524875428854387
75% Corpus,9,0.31,0.9099999999999999,0.41384620203509614
75% Corpus,9,0.31,symmetric,0.4177883858858636
75% Corpus,9,0.61,0.01,0.44091573118776384
75% Corpus,9,0.61,0.31,0.44695240323323976
75% Corpus,9,0.61,0.61,0.5006096647018561
75% Corpus,9,0.61,0.9099999999999999,0.4232366872028158
75% Corpus,9,0.61,symmetric,0.4170760154630332
